Post_ID,Post_Date,Platform,Content_Type,Campaign_Name,Country,City,Latitude,Longitude,Audience_Age_Group,Sentiment,Followers,Impressions,Likes,Shares,Comments,Clicks,Engagement_Rate_Percent
POST-0440,07-Nov-2025,Linked In,reel,Community,,Berlin,52.4813,13.4881,25-34,Negative,219064,106750,20838,2796,1606,4534,23.64
POST-0061,05/04/2025,You Tube,reel,Brand Awareness ,Nigeria,Lagos,6.6076,3.6436,25-34,Neutral,272985,85964,2332,254,192,2555,3.23
POST-0472,28-Sep-2025,facebook,video,seasonal promotion,germany,Berlin,52.5461,13.2172,18-24,Negative,226281,40726,6665,638,859,2871,20.04
POST-0204,12/06/2025,Facebook,Live,influencer campaign,france,Paris,49.1174,2.4882,45-54,Positive,347410,156632,8687,,933,9751,6.76
POST-0100,31/07/2025,LinkedIn,Image,Awareness,South Africa,Cape Town,-33.6553,18.3935,25-34,Positive,262778,111838,12224,2338,1645,5051,14.49
POST-0913,15-Jul-2025,facebook,video,Community,SA,Cape Town,-34.1244,18.4942,18-24,Negative,183596,101016,7378,1559,429,5920,9.27
POST-0253,02-May-2025,YT,image,seasonal promotion, united kingdom,London,51.5201,-0.3175,45-54,Positive,640213,320258,16555,2580,2093,25081,6.63
POST-0524,08-Sep-2025,TikTok,short,customer education,Germany,Berlin,52.6823,13.3069,35-44,Negative,835363,577434,38210,7666,3819,16248,8.61
POST-0454,25/06/2025,Instagram ,Short,brand awareness,United States,New York,40.9985,-73.8592,45-54,Negative,586849,495014,38869,6379,1833,30591,9.51
POST-0404,20/12/2025,Instagram ,reel,Product Launch ,INDIA,Mumbai,19.1161,73.1091,18-24,Positive,333737,,40457,6452,1639,9155,32.71
POST-0047,2025-05-10,LinkedIn,Text Post ,Brand Awareness ,Germany,Berlin,52.3961,13.1313,35-44,Negative,207178,112868,3108,491,107,6969,3.28
POST-0463,27-Apr-2025,FB,text post,influencer campaign,,Sydney,-33.8163,150.9815,45-54,Positive,365363,153392,2545,360,99,1271,1.96
POST-0362,19/06/2025,x ,image,Seasonal Promotion,ghana,Accra,5.5922,-0.0514,18-24,Neutral,277666,185060,6487,1102,193,10391,4.21
POST-0284,08/08/2025,Facebook,,brand awareness,USA,New York,40.605,-74.0716,45-54,Positive,317798,192938,17468,2835,716,5328,10.89
POST-0966,11/10/2025,Facebook,Photo,customer education, CANADA,Toronto,43.6368,-79.5586,45-54,Negative,371313,115573,16081,2008,337,4016,15.94
POST-0240,12/07/2025,Tik Tok,Reel,Product Launch ,DE,Berlin,52.3676,13.2226,18-24,Positive,685164,87167,37195,7018,778,2775,51.61
POST-0687,07/04/2025,LinkedIn,Carousel,Brand Awareness ,ghana,Accra,5.4979,-0.146,55+,Positive,222388,106988,6340,411,980,1101,7.23
POST-0789,05/29/2025,FB,Video,Influencer Campaign,India,Mumbai,19.3639,72.8276,55+,Neutral,422762,354795,27495,5321,1147,2594,9.57
POST-0060,2025-01-20,youtube,Video ,seasonal promotion,,Mumbai,18.9783,72.7547,55+,Negative,760610,277303,29155,4329,4372,10835,13.65
POST-0053,2025-11-24,Instagram ,carousel,influencer campaign,Ghana,Accra,5.7601,-0.178,18-24,Neutral,356865,252454,10491,2226,919,14231,5.4
POST-0288,2025-10-14,,Reel,Product Launch ,United States,New York,40.8667,-74.1205,18-24,Positive,752191,442724,77231,9601,4930,29681,20.73
POST-0507,03/13/2025,Facebook,,community engagement,SA,Cape Town,-33.8672,18.201,18-24,Positive,423019,166741,18717,1202,1936,1047,13.11
POST-0413,2025-08-29,facebook,live stream,Product Launch ,Ghana,Accra,5.5,0.0079,35-44,Neutral,279943,141746,11831,789,769,5627,9.45
POST-0941,01/02/2025,Instagram,Photo,Customer Education,US,New York,40.8781,-74.2825,45-54,Negative,470086,99308,23908,5159,673,6031,29.95
POST-0139,11/11/2025,Linked In,SHORT,Seasonal Promotion,FR,Paris,48.9088,2.6315,18-24,Positive,85790,36711,9023,1401,1353,1869,32.08
POST-0902,12-Feb-2025,LINKEDIN,Photo,Community,india,Mumbai,19.0564,72.6398,35-44,Positive,312453,260362,20117,,2103,,8.96
POST-0335,2025-10-13,IG,Video ,Awareness, CANADA,Toronto,43.4783,-79.5763,45-54,Negative,733416,205908,24071,3503,3420,4051,15.05
POST-0249,2025-01-14,youtube,carousel,Influencer Campaign,Australia,Sydney,-34.0664,150.9201,55+,Negative,493235,129185,21508,2190,1632,1011,19.61
POST-0831,06/01/2025,instagram,,Influencer Campaign,France,Paris,48.9385,2.1635,35-44,Negative,707628,334368,,5989,2493,20036,11.25
POST-0921,07/12/2025,FB,carousel,brand awareness,UK,London,51.5568,0.1716,18-24,Negative,264805,130922,15065,1313,728,8260,13.07
POST-0298,12-Nov-2025,facebook,reel,Product Launch ,canada,Toronto,43.8556,-79.5878,18-24,Neutral,325142,69604,33837,6234,3414,3669,62.47
POST-0457,12/31/2025,TikTok,CAROUSEL,Influencer,Nigeria,Lagos,6.383,3.4337,18-24,Neutral,913184,317497,12589,1418,1892,22493,
POST-0655,2025-04-03,YouTube,text post,Education,india,Mumbai,18.8227,72.8754,35-44,Positive,790170,152552,,4222,4727,7061,27.97
POST-0781,23/05/2025,Tik Tok,REEL,Product Launch,United Kingdom,London,51.2334,-0.2691,25-34,Negative,462877,340374,38062,4273,1970,21243,13.02
POST-0941,01/02/2025,Instagram,Photo,Customer Education,US,New York,40.8781,-74.2825,45-54,Negative,470086,99308,23908,5159,673,6031,29.95
POST-0062,07/12/2025,Tik Tok,Live,Seasonal Promo,SA,Cape Town,-33.875,18.1787,45-54,Positive,757904,526576,58869,9563,6087,23386,14.15
POST-0875,10/15/2025, Facebook,Video ,Brand Awareness , CANADA,Toronto,43.8452,-79.1716,25-34,Positive,403974,327912,,5274,1085,22677,12.46
POST-0945,15/06/2025,Twitter,text post,Promo,UK,London,51.6138,-0.3794,18-24,Negative,275845,154431,6951,1088,1103,6822,5.92
POST-0988,09/16/2025,YT,Short,influencer campaign,NIGERIA,Lagos,6.3815,3.3803,35-44,Positive,569308,353232,16097,1693,1778,22271,5.54
POST-0844,12-Feb-2025,instagram,,Community Engagement, united kingdom,London,51.3589,-0.3251,45-54,Positive,785122,322523,35243,3735,2044,14428,12.72
POST-0131,2025-09-24,facebook,Video,Influencer,NIGERIA,Lagos,6.571,3.5437,18-24,Negative,308034,132772,28169,3199,983,6492,24.37
POST-0628,2025-05-25,linkedin,Video ,Community,INDIA,Mumbai,18.8149,72.8878,18-24,Neutral,,137529,25066,1458,2993,2704,21.46
POST-0191,2025-06-07, Insta,video,Community,Nigeria,Lagos,6.7695,3.2958,35-44,Neutral,,197115,18039,1021,499,9610,9.92
POST-0848,03/29/2025,youtube,SHORT,Seasonal Promo,AUS,Sydney,-33.7802,151.4103,25-34,Neutral,591897,452706,24220,3738,1154,31460,6.43
POST-0758,27/09/2025,Instagram,short,Influencer Campaign,United States,New York,40.7199,-73.8195,45-54,Negative,551914,285307,24996,5282,725,21611,10.87
POST-0024,20-May-2025,twitter,Text Post,Promo,france,Paris,49.1062,2.1611,45-54,Positive,338665,222235,8328,1229,1203,11173,4.84
POST-0646,31/05/2025,Twitter,Reel,product launch,America,New York,40.6006,-73.7813,18-24,Positive,338831,42451,18149,1259,1447,1923,49.13
POST-0672,01/10/2025,Linked In,Image,community engagement,France,Paris,48.7424,2.5294,25-34,Neutral,274396,82204,19468,1077,2185,6177,27.65
POST-0420,2025-01-18,twitter,VID,Seasonal Promotion,india,Mumbai,18.938,72.9994,25-34,Positive,218478,167741,8458,738,1270,10910,150
POST-0748,07/17/2025,Facebook,carousel,Awareness,france,Paris,48.6226,2.5567,18-24,Negative,239688,120175,2818,221,186,6500,2.68
POST-0333,2025-03-15,Linked In,CAROUSEL,Promo,USA,New York,40.4704,-73.9747,55+,Positive,255055,137691,22217,1731,2059,7044,18.89
POST-0520,01-Sep-2025,tiktok,LIVE STREAM,brand awareness,canada,Toronto,43.7434,-79.1594,55+,Neutral,876037,133129,78934,8012,12419,3206,74.64
POST-0704,2025-05-01,FB,LIVE STREAM,Brand Awareness ,AUS,Sydney,-34.0045,151.4026,55+,Negative,363076,276770,28340,5417,3178,3462,13.35
POST-0673,2025-02-19,TikTok,live stream,Promo,France,Paris,48.6826,2.0764,35-44,Neutral,892462,739491,22014,1552,1969,7142,3.45
POST-0274,06-Jul-2025,TIKTOK,Image ,Promo,INDIA,Mumbai,18.8954,72.8653,45-54,Neutral,,712637,60848,8309,3512,38639,10.2
POST-0107,06/19/2025,Facebook,Photo,Launch,france,Paris,48.6425,2.5696,35-44,Negative,345158,188459,23761,2962,3357,14289,15.96
POST-0707,12/28/2025,instagram,Reel,Education,germany,Berlin,52.6454,13.3383,55+,Neutral,264835,196987,9034,646,295,11864,
POST-0975,2025-09-29,X,Carousel,customer education,Canada,Toronto,43.8907,-79.1365,35-44,Neutral,224027,100818,11809,1453,618,7897,13.77
POST-0305,02/23/2025,LinkedIn,video,Brand Awareness,USA,New York,40.9677,-73.9559,25-34,Negative,276865,197395,8517,,1033,13069,5.08
POST-0263,23-Apr-2025, Insta,Video ,Customer Education,India,Mumbai,19.2727,72.7041,18-24,Positive,516926,374388,19000,3314,2638,2836,6.66
POST-0678,02/19/2025,Instagram,,Seasonal Promo,Nigeria,Lagos,6.51,3.6504,45-54,Negative,669461,247917,30315,4233,2986,16120,15.14
POST-0220,02/02/2025,X,Reel,Promo,SA,Cape Town,-33.9438,18.654,45-54,Negative,337277,162296,37622,4329,3245,12240,27.85
POST-0351,31/08/2025,Linked In,REEL,community engagement,FR,Paris,48.6757,2.6357,35-44,Positive,219139,181591,10305,1670,639,12857,6.95
POST-0072,05-Dec-2025,TIKTOK,reel,seasonal promotion,Ghana,Accra,5.5623,-0.1528,18-24,Neutral,636216,407540,11268,1705,1484,4545,
POST-0015,13/10/2025,tiktok,SHORT,influencer campaign,U.K.,London,51.6667,-0.1148,18-24,Negative,777316,410434,17490,2162,1650,11819,5.19
POST-0960,11/14/2025,LINKEDIN,VID,Product Launch,india,Mumbai,19.0732,72.8924,35-44,Negative,242207,189556,13249,2579,1471,3494,9.13
POST-0318,2025-07-21,twitter,text post,Education,India,Mumbai,18.915,72.9769,35-44,Positive,260860,121137,12498,1951,908,6592,12.68
POST-0287,03/13/2025,Instagram,reel,product launch,Australia,Sydney,-33.9146,151.0034,25-34,Negative,333668,67142,19807,3091,432,637,34.75
POST-0631,06/18/2025,LINKEDIN,VID,community engagement,South Africa,Cape Town,,18.1876,18-24,Negative,288137,105607,4347,923,294,1840,5.27
POST-0178,02/06/2025, Insta,Live,Brand Awareness,Nigeria,Lagos,6.5485,3.0812,45-54,Positive,311799,186016,24668,1070,2212,,15.03
POST-0569,11/20/2025,,LIVE STREAM,Customer Education,canada,Toronto,43.691,-79.4095,18-24,Positive,241739,34457,15787,1717,998,1496,53.7
POST-0978,21-May-2025,X,CAROUSEL,Community,canada,Toronto,43.5529,-79.667,35-44,Negative,139317,89627,,2187,1238,1320,16.31
POST-0514,2025-08-13,youtube,Live Stream,Product Launch ,GH,Accra,5.7055,-0.1299,55+,Neutral,679196,226586,56054,6098,5488,8115,29.85
POST-0951,28/09/2025,YT,LIVE STREAM,Seasonal Promotion,GH,Accra,5.4029,0.0712,35-44,Neutral,778491,322600,64368,6685,6750,9329,24.12
POST-0714,10-Dec-2025,LinkedIn,reel,Brand Awareness,GH,Accra,5.4214,-0.2445,25-34,Negative,,104993,23558,2299,1464,4101,26.02
POST-0528,2025-09-09,tiktok,Image ,Education,,Accra,5.6294,-0.0063,25-34,Positive,659102,178342,25577,5171,1937,9779,18.33
POST-0054,12-Nov-2025,youtube,Image,Awareness,france,Paris,48.5858,2.221,45-54,Neutral,652813,234378,15419,3018,653,11326,
POST-0968,19/08/2025,IG,image,Launch,GH,Accra,5.6178,-0.4316,18-24,Negative,519666,97349,26849,5143,2293,5962,35.22
POST-0574,2025-01-28,YT,Text Post,product launch,ghana,Accra,5.8862,-0.4397,18-24,Neutral,705840,154962,7160,1236,499,2109,5.74
POST-0546,2025-01-18,FB,Image,customer education,nigeria,Lagos,6.6544,3.653,35-44,Neutral,321616,41657,11438,1459,1734,268,35.12
POST-0377,11/17/2025,instagram,Video ,Launch,france,Paris,49.0703,2.3742,18-24,Neutral,640765,492645,26087,4721,1732,3727,150
POST-0469,05/30/2025, Facebook,Live Stream,Influencer,,Mumbai,18.9328,72.7251,35-44,Negative,409324,134931,8235,1319,787,5959,7.66
POST-0336,04/29/2025,linkedin,Live,seasonal promotion,india,Mumbai,19.1942,73.0006,45-54,Negative,195744,108916,13481,1728,1458,4983,15.3
POST-0229,11/19/2025,Facebook,Short,Community Engagement,ghana,Accra,5.3545,-0.1669,45-54,Positive,308286,166814,21711,1620,2314,1495,15.37
POST-0854,2025-07-24,instagram,Photo,Awareness,NIGERIA,Lagos,6.7922,3.3152,25-34,Neutral,628831,451351,9063,1702,595,18758,2.52
POST-0337,2025-07-29,youtube,VID,Education, CANADA,Toronto,,-79.3202,45-54,Positive,517262,222627,40281,4592,5368,5466,22.57
POST-0904,08/29/2025,Twitter,Video,brand awareness,ghana,Accra,5.7016,-0.0787,25-34,Positive,312516,185430,31866,5809,2749,10306,21.8
POST-0580,07/21/2025,LinkedIn,SHORT,community engagement,france,Paris,49.1461,2.3839,18-24,Negative,82413,18759,7225,1478,877,441,51.07
POST-0671,19-Mar-2025,TIKTOK,Video,Product Launch ,germany,Berlin,52.816,13.3619,35-44,Negative,857698,343193,54648,8524,7464,5828,20.58
POST-0654,2025-12-11, Insta,short,Community Engagement,Canada,Toronto,43.6291,-79.4048,35-44,Neutral,559984,234951,17151,3363,818,1393,9.08
POST-0311,04/12/2025,IG,Live Stream,Product Launch ,canada,Toronto,43.5878,-79.4328,18-24,Negative,528510,143017,31921,5274,2563,1672,27.8
POST-0709,02-Oct-2025,Facebook,live stream,Influencer,America,New York,41.0068,,35-44,Negative,320075,228115,9243,704,1393,8407,4.97
POST-0449,06-Apr-2025,TIKTOK,Video,Awareness,France,Paris,49.0871,2.1962,25-34,Negative,255746,182991,22835,4458,1894,11143,15.95
POST-0019,2025-10-17,linkedin,VID,Community, Nigeria ,Lagos,6.7198,3.4347,18-24,Neutral,186641,138149,8568,1123,580,9211,7.43
POST-0762,2025-06-12,linkedin,reel,Community,United Kingdom,London,51.5278,-0.1628,35-44,Negative,237906,79071,27406,5627,4159,4980,47.04
POST-0893,08/04/2025,X,text post,seasonal promotion,USA,New York,40.6009,-73.9034,55+,Neutral,280976,153019,4783,394,222,7697,3.53
POST-0104,10/10/2025, Facebook,reel,Product Launch ,GH,Accra,5.309,0.0599,18-24,Positive,202521,147138,9674,1845,543,1733,8.2
POST-0224,01-Jun-2025,instagram,Reel,Community,SA,Cape Town,-33.9822,18.2425,35-44,Neutral,411005,140627,22392,,2183,8536,20.06
POST-0723,01-Sep-2025,instagram,image,customer education,Canada,Toronto,43.9384,-79.3362,18-24,Positive,650432,125718,13258,2166,1255,1058,13.27
POST-0897,08/16/2025,LinkedIn,image,Product Launch,Ghana,Accra,5.8511,-0.2576,25-34,Negative,298411,129843,10453,1279,1095,9789,9.88
POST-0784,2025-09-07,YouTube,Text,influencer campaign,Canada,Toronto,43.8304,-79.2658,25-34,Neutral,638369,474084,4834,923,239,27634,1.26
POST-0451,31-Aug-2025,FB,Video ,Influencer, Nigeria ,Lagos,6.2531,3.1249,55+,Neutral,524924,289418,37227,3036,2387,11199,14.74
POST-0946,2025-07-05,LINKEDIN,SHORT,community engagement,DE,Berlin,52.6271,13.3621,55+,Positive,144574,18581,12159,2078,460,700,79.1
POST-0434,03/04/2025,You Tube,Text,brand awareness,USA,New York,40.5511,-73.935,55+,Neutral,764557,130971,30816,6747,793,1710,29.29
POST-0495,02/25/2025,Tik Tok,Carousel,customer education,Australia,Sydney,-33.9987,151.3712,25-34,Neutral,755121,208837,17646,1256,1883,7614,
POST-0014,2025-12-04,You Tube,live stream,influencer campaign,America,New York,40.7094,,18-24,Neutral,752184,141540,24712,3941,2636,10813,22.11
POST-0260,11/23/2025,You Tube,reel,Community Engagement,U.K.,London,51.5715,-0.0004,55+,Positive,573893,407186,5557,582,146,11977,1.54
POST-0417,01/10/2025,tiktok,reel,customer education,FR,Paris,48.7812,2.2853,35-44,Neutral,439850,242119,39054,,1000,5002,18.78
POST-0909,2025-08-09,twitter,LIVE STREAM,Product Launch,india,Mumbai,19.0836,73.1078,25-34,Neutral,214868,48380,12126,2250,826,3261,31.42
POST-0833,2025-06-22,x ,Live Stream,Launch,America,New York,40.85,-73.8374,18-24,Positive,271923,204014,19102,1188,566,,10.22
POST-0698,12/03/2025,Linked In,Text,influencer campaign, Nigeria ,Lagos,6.3199,3.4672,45-54,Positive,340844,288082,2215,447,273,16278,1.02
POST-0932,18/12/2025,youtube,Image ,influencer campaign,india,Mumbai,18.7936,73.0074,35-44,Positive,473149,321336,26867,4226,3271,19531,10.69
POST-0762,2025-06-12,linkedin,reel,Community,United Kingdom,London,51.5278,-0.1628,35-44,Negative,237906,79071,27406,5627,4159,4980,47.04
POST-0859,24-Jul-2025,linkedin,Live Stream,Influencer Campaign,United Kingdom,London,51.7282,-0.225,45-54,Neutral,283705,55426,17689,2709,1764,1338,39.98
POST-0168,16-Jun-2025,TikTok ,CAROUSEL,seasonal promotion,Germany,Berlin,52.5925,13.4338,35-44,Positive,789908,370795,36114,1869,1293,25374,10.59
POST-0501,17/10/2025,youtube,Image ,Community, CANADA,Toronto,43.5714,-79.1047,55+,Positive,1007255,537691,29650,2106,2986,27481,6.46
POST-0835,19/03/2025,,Live Stream,Customer Education,Nigeria,Lagos,6.7604,3.2613,45-54,Positive,616513,290993,25102,5303,2550,14073,11.33
POST-0665,2025-10-04,x ,Live,Brand Awareness,FR,Paris,49.0974,2.2109,55+,Neutral,211063,157614,3541,523,,,2.9
POST-0475,2025-10-28,LinkedIn,video,Product Launch,U.K.,London,51.2876,-0.3928,18-24,Negative,191134,24766,12370,2359,1154,1402,64.13
POST-0511,2025-12-27,instagram,Reel,Community Engagement,Germany,Berlin,52.4294,13.6206,45-54,Negative,461689,211093,5856,711,319,4683,3.26
POST-0695,20/09/2025,tiktok,Image ,influencer campaign,UK,London,51.2254,-0.0624,25-34,Neutral,867748,711190,60781,10419,5067,25329,10.72
POST-0161,2025-02-14,IG,video,Awareness,germany,Berlin,52.3007,13.5218,55+,Positive,889402,561113,21292,1941,2395,26889,4.57
POST-0049,30-Jun-2025,Linked In,Image ,customer education, united kingdom,London,51.7765,-0.2044,55+,Neutral,196354,75638,14941,799,1632,4922,22.97
POST-0548,02/07/2025,Instagram,Reel,community engagement, united kingdom,London,51.4076,0.0983,55+,Neutral,736387,579442,6187,1098,592,25079,1.36
POST-0922,04/12/2025,Facebook,Image,Influencer Campaign,Germany,Berlin,52.3424,13.2866,35-44,Negative,364271,59968,11481,1640,1166,420,23.82
POST-0102,20/01/2025,YT,Text Post ,Influencer,AUS,Sydney,-33.7579,151.4928,45-54,Neutral,541616,339253,9032,595,950,2683,
POST-0223,05/17/2025,Tik Tok,CAROUSEL,Influencer Campaign,Nigeria,Lagos,6.2753,3.2681,18-24,Neutral,660690,334735,37942,3194,4759,21436,13.71
POST-0881,2025-02-23,Linked In,Photo,Seasonal Promo,France,Paris,49.0362,2.0758,55+,Positive,291457,41491,7832,1511,381,252,23.44
POST-0787,2025-04-22,LINKEDIN,carousel,Awareness,FR,Paris,48.9198,2.1577,25-34,Neutral,214210,129142,14817,1846,1125,3916,13.77
POST-0186,2025-10-26,Instagram,Text,Product Launch ,GH,Accra,5.7804,-0.0144,18-24,Negative,,449668,36106,4458,1422,8485,9.34
POST-0299,10-Feb-2025,Instagram ,Image,Influencer,South Africa,Cape Town,-34.1583,18.6804,35-44,Positive,771005,197520,60721,9363,7824,10654,39.44
POST-0790,2025-08-28,,Text,Product Launch,Canada,Toronto,43.8028,-79.327,25-34,Positive,752513,551067,14181,2687,550,43676,3.16
POST-0358,19/02/2025,TIKTOK,Carousel ,Influencer,germany,Berlin,52.3464,13.5236,18-24,Negative,540547,306118,12999,2178,662,18248,5.17
POST-0045,20/09/2025,X,Carousel,Launch,australia,Sydney,-33.7512,150.9926,18-24,Positive,316037,252590,25477,4764,3664,9122,13.42
POST-0608,06-Oct-2025,Tik Tok,text post,Seasonal Promotion,USA,New York,40.6137,-73.7827,35-44,Positive,464403,172049,24075,3780,1862,4078,17.27
POST-0573,10/22/2025,LINKEDIN,reel,Product Launch ,Canada,Toronto,43.8687,-79.6078,35-44,Negative,246096,109573,29581,6495,3740,1050,36.34
POST-0394,14/03/2025,YouTube,Live Stream,Customer Education,DE,Berlin,52.4565,13.4328,45-54,Positive,489617,73619,47143,6050,6183,691,80.65
POST-0676,31/12/2025,Facebook,reel,brand awareness,ghana,Accra,5.6242,-0.4795,35-44,Positive,320680,87409,9128,1686,213,2945,12.62
POST-0679,24/11/2025,X,SHORT,Community,United States,New York,40.4955,-74.0754,25-34,Neutral,409576,220259,16400,2857,2217,13147,9.75
POST-0309,11/09/2025,x ,Text Post ,brand awareness,india,Mumbai,18.9764,72.6842,18-24,Negative,324091,39625,11115,1856,670,748,34.43
POST-0578,2025-01-29,TikTok,Photo,community engagement,Canada,Toronto,43.4077,-79.2526,25-34,Neutral,1116445,608079,84422,6006,4416,38137,15.6
POST-0958,2025-11-21,YouTube,Short,Influencer,France,Paris,48.7085,2.5005,55+,Negative,719393,594094,51584,5819,4986,18980,10.5
POST-0618,29-Apr-2025,LINKEDIN,Carousel ,Customer Education,south africa,Cape Town,-33.8601,18.5623,35-44,Positive,229775,122269,16824,2361,545,5855,16.14
POST-0681,08/24/2025,TikTok,reel,Customer Education, CANADA,Toronto,43.7075,-79.601,55+,Neutral,454477,328040,22894,4449,2299,25484,9.04
POST-0176,04/10/2025,x ,text post,Community,Ghana,Accra,5.874,-0.1042,55+,Positive,417780,53359,15160,3316,968,300,36.44
