Region,EmploymentStatus,PropertyType,Education,MaritalStatus,Age,Income,HousingCost,Savings,RecordDate
Scotland,Employed,Detached,Bachelor,Married,29,23482,4056.98290057079,10791.6193259659,2023-06-25
Wales,Employed,House,Bachelor,Single,47,21248,7087.86938170852,8774.45930805795,2022-02-22
London,Self-Employed,House,Bachelor,Married,43,58001,29885.425721456,10972.0154645937,2022-11-09
North West,Unemployed,Detached,High School,Single,37,41405,18114.0112739079,4774.11570256474,2023-03-26
South East,Self-Employed,Flat,Phd,Single,54,53818,41665.180125784,21761.8667452102,2021-09-07
Scotland,Self-Employed,Semi-Detached,Master,Married,65,56752,23343.4059263911,15219.668133712,2020-01-01
Midlands,Self-Employed,House,Phd,Divorced,59,60237,27106.5727655683,22302.8030582688,2023-09-21
Wales,Unemployed,Detached,High School,Single,64,53818,17547.970367884,9327.80479292706,2023-03-24
South East,Unemployed,Semi-Detached,Phd,Married,36,37342,12999.9813878277,17067.6812921539,2022-08-09
London,Unemployed,House,High School,Married,29,78901,42317.6427375785,26682.8133518223,2023-01-27
North West,Employed,Semi-Detached,Phd,Married,36,54347,31693.6367051743,15969.2576346871,2020-06-14
South East,Employed,House,Phd,Divorced,30,46043,22759.5398205431,10698.2087550266,2020-02-10
Scotland,Self-Employed,Semi-Detached,High School,Married,40,69116,39789.417993037,21791.4611003795,2022-03-07
Midlands,Unemployed,Semi-Detached,Bachelor,Married,29,88008,22759.5398205431,29637.3197589845,2021-11-01
South East,Self-Employed,Detached,Master,Married,38,73255,22759.5398205431,21106.4309147147,2020-03-23
London,Employed,House,High School,Divorced,30,49266,11366.9408918534,16040.4101693457,2020-08-22
South East,Self-Employed,Flat,High School,Married,57,67192,24375.2018320348,8761.74213569236,2020-09-04
Scotland,Employed,Detached,Phd,Divorced,44,27038,12137.5587409511,2840.63553447373,2020-11-09
North West,Employed,Detached,Phd,Married,48,53818,18315.6923964235,22988.8779414334,2020-02-28
North West,Self-Employed,House,Phd,Single,43,51862,22759.5398205431,19732.1166638915,2021-05-07
Wales,Self-Employed,Semi-Detached,Phd,Single,26,56566,17514.6876961952,12584.9401201354,2023-12-10
North West,Self-Employed,Detached,Master,Single,28,43242,19365.2234681474,20771.3389866132,2023-05-07
Midlands,Employed,House,Master,Single,44,53818,22759.5398205431,6254.13916397134,2020-07-29
London,Unemployed,Detached,Phd,Married,49,62657,15548.336073471,13881.4232818538,2020-11-06
South East,Unemployed,Detached,High School,Single,28,72548,32229.4965368311,29764.8059672105,2020-05-03
Scotland,Unemployed,Flat,Bachelor,Divorced,34,52687,45846.6840849658,10323.8106464586,2021-08-13
Wales,Self-Employed,Semi-Detached,High School,Divorced,35,52675,32356.3444562658,19198.6267129205,2020-05-26
London,Employed,Detached,Master,Married,28,79433,40598.5656065826,13881.4232818538,2021-05-27
London,Employed,House,High School,Divorced,38,23273,9904.19254893084,6707.28626381411,2020-07-05
North West,Self-Employed,Semi-Detached,Master,Married,63,31710,17850.0507482023,8392.30631886838,2021-05-31
Midlands,Employed,Semi-Detached,High School,Divorced,55,78552,29072.4981134999,24144.9804626301,2021-08-12
North West,Unemployed,Semi-Detached,High School,Single,61,49365,22759.5398205431,15813.3670322747,2020-11-11
North West,Unemployed,Detached,Master,Married,51,79894,30819.9229534885,12611.8101720757,2022-04-29
Midlands,Unemployed,Detached,High School,Married,40,82178,47747.3848029468,25921.5898858196,2023-11-29
South East,Unemployed,Semi-Detached,Bachelor,Married,23,59704,31733.656729167,15190.5783354886,2023-04-23
Midlands,Employed,Semi-Detached,High School,Divorced,50,20011,22759.5398205431,8972.39587586769,2020-06-13
Midlands,Unemployed,Semi-Detached,Master,Divorced,52,88912,19466.1512676689,17240.7567418748,2023-12-12
London,Self-Employed,House,Master,Single,23,60516,31797.7962782147,14728.7070490595,2023-06-02
North West,Unemployed,House,Phd,Divorced,30,48433,19086.4558137329,13746.6511946506,2021-12-08
Scotland,Self-Employed,Semi-Detached,Master,Married,40,44111,29372.9285717224,6292.93291170711,2022-03-21
Midlands,Employed,Flat,Phd,Married,35,64179,19079.1723063534,22357.1695834159,2023-08-16
London,Self-Employed,Semi-Detached,High School,Divorced,44,35224,9752.20030954969,8125.74179366012,2021-07-12
South East,Self-Employed,Semi-Detached,Master,Divorced,42,33095,9931.54955992798,5172.84136464787,2022-01-19
London,Self-Employed,Flat,Master,Divorced,28,77609,28709.1975328363,25907.7496612132,2023-02-23
Midlands,Unemployed,House,High School,Divorced,50,57608,24403.485107547,8981.7096546064,2022-07-18
Midlands,Unemployed,Semi-Detached,Bachelor,Married,62,30978,18469.6505170237,14733.794347871,2023-11-05
Midlands,Unemployed,Detached,High School,Married,38,42878,27699.6710492401,5860.10922657906,2023-03-02
South East,Employed,House,Bachelor,Single,42,37340,24405.7852246541,3776.35179690552,2020-02-22
South East,Employed,Detached,Bachelor,Divorced,41,20068,2098.87046943671,13881.4232818538,2022-07-14
Scotland,Employed,Flat,Master,Married,62,22082,8837.60132690279,9692.21857208762,2020-10-30
London,Employed,Detached,Master,Married,59,53818,34202.7252523698,29953.9667031171,2021-03-16
North West,Self-Employed,House,Phd,Married,50,70262,24352.3926823356,15810.3088669994,2020-06-23
London,Self-Employed,Flat,Master,Single,56,25861,15974.550726654,8396.3775723099,2020-04-15
Midlands,Unemployed,Detached,Master,Single,57,84507,30319.0213878235,16030.8044614692,2023-02-22
Scotland,Unemployed,Flat,Master,Single,32,53818,26752.7448953284,25219.9225227853,2020-03-03
London,Unemployed,House,Phd,Married,50,62681,19228.5497867361,13881.4232818538,2023-10-12
London,Self-Employed,Semi-Detached,Phd,Married,59,75939,28524.1946048767,30525.750954813,2020-04-03
South East,Self-Employed,Flat,High School,Single,40,45686,22877.4956766173,9858.07265471994,2023-02-18
Wales,Self-Employed,Flat,Phd,Divorced,23,75176,31124.2396280538,33441.5929533203,2021-10-27
South East,Unemployed,Semi-Detached,Master,Single,48,53818,15331.2494222411,8293.23515803011,2023-07-20
London,Unemployed,House,Master,Married,62,37358,9827.7860806331,7560.78433501625,2022-08-08
Scotland,Unemployed,Semi-Detached,Master,Divorced,41,37786,17944.4072224028,13881.4232818538,2020-04-26
Midlands,Self-Employed,Flat,High School,Divorced,59,84462,36989.4556279879,27173.6677423903,2022-09-01
Scotland,Employed,Flat,Phd,Single,42,29053,10220.7817492126,3360.17847700327,2022-03-04
North West,Self-Employed,Flat,Master,Single,42,30387,14863.9398475153,6492.4496380937,2020-10-16
Midlands,Self-Employed,Semi-Detached,Bachelor,Divorced,26,58577,26484.2423349035,24911.2700326078,2022-05-17
Scotland,Self-Employed,Flat,Master,Married,32,46074,19996.2416243568,8145.97965434117,2022-12-14
London,Unemployed,Detached,Bachelor,Divorced,45,53818,9436.76738305874,14846.6687240511,2022-07-08
South East,Unemployed,House,Master,Married,33,66213,36617.7054328122,32694.3848196425,2023-05-23
South East,Self-Employed,Flat,Phd,Married,56,31446,19143.2502942694,13850.9070192296,2021-03-30
North West,Self-Employed,Flat,Phd,Single,46,83799,22759.5398205431,41715.991963367,2020-10-08
London,Self-Employed,Semi-Detached,Bachelor,Divorced,51,76799,32038.0957806662,8263.69174291105,2021-05-01
Midlands,Employed,Flat,Bachelor,Married,61,53818,24380.2447273566,26389.1303128782,2021-05-07
Scotland,Self-Employed,House,High School,Divorced,44,26870,19597.7848896148,8139.75808283955,2021-06-03
Wales,Employed,Detached,High School,Married,36,31587,16873.0448664028,4844.30348595509,2022-09-07
Wales,Employed,House,High School,Divorced,50,22847,3775.24884827258,9514.48887785759,2020-03-15
Wales,Employed,Detached,Master,Single,62,61506,22287.061201474,16900.6527081929,2022-01-22
Scotland,Self-Employed,Flat,Phd,Single,48,41652,18627.0348593696,5874.56322197625,2022-07-04
London,Unemployed,Detached,Phd,Married,61,25518,8704.71515685875,6260.18937278071,2020-03-12
South East,Employed,House,Master,Married,45,22244,12642.905280566,10666.6522339932,2021-05-26
London,Employed,House,Phd,Divorced,45,33435,10686.126113596,12759.3016870801,2020-05-31
North West,Employed,Semi-Detached,High School,Divorced,41,63537,35673.9758688697,20132.8767112754,2022-11-07
South East,Employed,House,Bachelor,Single,52,21445,12446.0490883484,5309.01997766947,2024-01-12
North West,Unemployed,Semi-Detached,Phd,Divorced,25,34426,16537.8006229825,9638.92879507772,2020-09-21
North West,Unemployed,Flat,High School,Divorced,30,57862,18086.0857848108,27420.5202814441,2023-02-02
Midlands,Employed,Detached,High School,Divorced,62,40103,22845.4029288861,6483.76107386845,2020-02-28
London,Employed,Detached,Bachelor,Divorced,47,21969,13259.7393500956,4742.41865130979,2020-05-02
South East,Self-Employed,Semi-Detached,Phd,Married,34,62589,29057.8407163883,27826.6957895476,2020-08-05
Midlands,Employed,Semi-Detached,High School,Married,49,50495,10942.5156629084,10911.2020763821,2023-03-29
Wales,Self-Employed,House,Bachelor,Married,53,53818,67349.3503884237,23672.504976616,2021-07-30
North West,Unemployed,Semi-Detached,Master,Divorced,21,32089,12195.0644167076,12546.9024980558,2020-05-30
North West,Unemployed,Semi-Detached,Master,Divorced,64,33572,6488.82057327642,8646.85417748992,2022-10-21
London,Employed,Flat,Bachelor,Divorced,42,80094,32021.9019354963,27432.5321125641,2021-09-04
Scotland,Self-Employed,Semi-Detached,Master,Married,22,66281,21049.4620257016,32607.5485618344,2023-09-04
Scotland,Unemployed,House,High School,Divorced,51,40349,22759.5398205431,6419.94082168404,2020-11-06
North West,Unemployed,House,Phd,Divorced,60,79814,40355.5754166948,30513.6977515844,2022-07-30
Scotland,Self-Employed,Detached,Master,Divorced,51,43200,24845.9414304448,13963.7373259519,2021-10-11
North West,Self-Employed,Detached,Master,Single,57,89197,35616.9037884936,38118.4257245063,2022-06-24
Wales,Self-Employed,Semi-Detached,Bachelor,Single,55,53537,30317.2058200349,8293.37287247081,2020-04-17
London,Self-Employed,Detached,Phd,Single,64,36018,13085.8188678422,17690.7552075217,2021-08-11
Midlands,Self-Employed,Flat,High School,Divorced,57,48437,16792.6597925634,22537.3432889083,2022-10-11
South East,Unemployed,Detached,High School,Single,40,32064,18924.4916639414,6856.07392838075,2021-01-29
London,Self-Employed,House,Phd,Divorced,37,42405,11333.2841103203,17653.5011239812,2022-11-21
Midlands,Employed,Semi-Detached,High School,Single,29,80580,28335.5379014096,8278.14844523095,2021-06-19
Wales,Self-Employed,House,High School,Divorced,28,79000,29875.1953564001,29579.9263885591,2022-01-22
Scotland,Employed,House,Bachelor,Married,30,77634,44649.8762215794,19365.7963931255,2023-10-25
Scotland,Employed,Semi-Detached,Master,Single,57,32707,12855.7221615028,15083.0052227854,2024-01-08
Scotland,Self-Employed,Flat,Phd,Single,50,35294,35295.1985645711,11490.4725467496,2021-03-22
Scotland,Employed,Flat,Phd,Married,65,53818,7568.45626696192,13881.4232818538,2024-02-02
Wales,Self-Employed,Detached,Phd,Married,45,67236,22532.4909765498,10300.2810475141,2020-01-08
London,Self-Employed,Semi-Detached,Phd,Divorced,45,48102,16863.538426638,7794.85931753905,2020-02-02
South East,Employed,Flat,High School,Divorced,23,53818,30934.5789806952,15141.8334321901,2021-08-15
South East,Unemployed,Detached,Master,Single,40,36777,22759.5398205431,6929.4155461535,2022-05-24
Scotland,Self-Employed,Flat,Master,Divorced,63,67958,35902.0980567754,25723.6906975645,2023-12-20
South East,Self-Employed,Flat,Phd,Married,56,87467,22759.5398205431,17668.1816537418,2020-04-15
Midlands,Self-Employed,Flat,High School,Single,58,46444,19858.7445838673,10276.9058649654,2021-05-11
Wales,Unemployed,House,Phd,Single,56,60154,32602.0917215824,17234.1320886826,2024-01-19
North West,Self-Employed,House,Master,Married,47,53818,9346.63264146368,9512.8508280664,2021-04-16
North West,Unemployed,House,Phd,Divorced,62,62245,24172.3064101441,30288.6228379991,2022-09-27
South East,Unemployed,Flat,High School,Single,63,24358,22759.5398205431,3775.40747993798,2023-07-30
Wales,Unemployed,Semi-Detached,Phd,Single,21,87758,34077.3974664575,9362.94130452464,2021-01-02
London,Employed,House,Bachelor,Single,60,87003,30244.1491168881,18003.5216260309,2023-11-01
London,Unemployed,Flat,High School,Married,45,67436,22759.5398205431,23919.497289268,2020-07-14
Scotland,Employed,House,Bachelor,Divorced,57,80324,47840.8073096248,30022.8217559894,2021-02-28
Scotland,Employed,Semi-Detached,High School,Married,31,49519,23576.5253399802,18362.337790099,2021-12-09
London,Employed,Semi-Detached,Bachelor,Single,42,69996,41583.1964277,7829.07104941031,2023-10-24
Scotland,Unemployed,Semi-Detached,High School,Divorced,39,50302,21474.2748937759,10422.0116392244,2021-09-23
North West,Self-Employed,Detached,High School,Single,26,42561,22759.5398205431,13700.2156663656,2022-02-27
London,Self-Employed,Semi-Detached,Phd,Single,56,49816,20204.4732863767,18637.4805788951,2021-09-05
North West,Employed,Detached,Master,Single,61,82985,22759.5398205431,23496.7590426716,2022-06-20
Midlands,Self-Employed,House,Master,Married,59,44326,16422.9050444973,21534.8938973199,2022-02-09
Midlands,Self-Employed,Detached,High School,Divorced,33,89516,32028.2275273581,9915.36895367253,2022-04-17
Wales,Self-Employed,House,Master,Single,37,38203,20290.2115498842,4950.57602986007,2023-01-18
London,Self-Employed,Flat,High School,Single,63,64531,15614.6462584506,20991.167470581,2020-07-20
Midlands,Employed,House,Phd,Married,46,78694,45589.0448744895,29602.7093345989,2024-02-04
South East,Self-Employed,Detached,Master,Married,34,86303,77928.0737308603,13881.4232818538,2021-12-03
Wales,Employed,House,Bachelor,Divorced,32,38989,32497.9689762538,18846.699663514,2023-06-11
South East,Self-Employed,Semi-Detached,Phd,Single,34,44972,11649.2033012789,14882.9959970951,2022-09-29
Scotland,Unemployed,Detached,Phd,Divorced,46,32972,14759.1199009476,11439.4729052322,2020-08-29
South East,Self-Employed,Flat,Bachelor,Married,65,36528,17514.7937914195,12367.2969038368,2020-12-20
Scotland,Employed,Semi-Detached,Master,Single,32,59232,28141.3638713076,26429.8451112348,2022-04-17
Wales,Self-Employed,Semi-Detached,Phd,Married,31,28835,11527.8859394301,6252.46501685012,2023-01-30
Scotland,Employed,Flat,Master,Divorced,44,89046,43580.0744367911,35974.7311357746,2020-03-07
North West,Self-Employed,Detached,High School,Married,28,49056,20499.5241862494,18428.0548997419,2020-05-01
Scotland,Self-Employed,Detached,Bachelor,Married,39,55923,22759.5398205431,27636.8849309545,2023-09-05
South East,Unemployed,House,Bachelor,Single,41,50447,27490.670323658698,14921.3897385065,2020-07-09
North West,Unemployed,Detached,Master,Married,52,60898,24154.4750657381,23894.7172516346,2022-05-29
South East,Self-Employed,Detached,Master,Married,42,89737,44860.960876634,39571.2378913574,2020-02-03
London,Employed,Semi-Detached,Phd,Single,48,44518,23804.7079931695,20160.3816638487,2023-09-22
Wales,Employed,Flat,Phd,Divorced,40,53818,31961.6776921059,18573.8415432286,2023-11-25
Midlands,Employed,Semi-Detached,Bachelor,Married,25,48008,15116.6473471449,6782.59968250804,2023-10-18
South East,Employed,Flat,Bachelor,Married,43,45925,19056.8515162821,21490.9550699078,2024-02-04
North West,Self-Employed,Semi-Detached,Master,Single,36,54302,24891.9651328087,17450.4175596698,2021-09-09
South East,Unemployed,House,Phd,Married,62,25152,12108.9622413911,7494.16637280522,2021-10-10
South East,Self-Employed,Semi-Detached,Master,Divorced,64,53818,17206.5985110181,13881.4232818538,2023-07-11
Wales,Unemployed,Semi-Detached,Phd,Divorced,46,28803,17466.0384303412,9977.90133774774,2022-03-11
Scotland,Unemployed,Flat,Master,Divorced,48,49278,9730.22118835014,13881.4232818538,2020-01-26
Wales,Employed,Flat,Bachelor,Married,43,86551,73105.8079656632,14435.4242593219,2022-05-29
Midlands,Unemployed,Flat,Master,Divorced,57,28101,15273.0349921262,6858.03663522272,2024-01-20
London,Employed,Flat,High School,Single,36,24026,11247.6156102182,13881.4232818538,2021-04-04
Midlands,Employed,Semi-Detached,Master,Married,25,66864,15372.2683166218,11483.072254643,2021-09-28
Midlands,Employed,Semi-Detached,High School,Married,33,56219,25127.5779068382,22253.1889592664,2023-01-24
South East,Employed,Flat,Phd,Single,35,53818,28191.0444669925,42746.1258063143,2021-05-02
North West,Self-Employed,Flat,Bachelor,Divorced,38,30193,6804.16825283142,13856.0202560106,2020-09-30
Wales,Self-Employed,Flat,High School,Married,63,35132,10970.3926047333,15470.9201247063,2021-02-19
South East,Unemployed,Flat,Bachelor,Single,31,76925,33439.2013334666,11407.5693997025,2023-11-06
Midlands,Unemployed,Flat,Bachelor,Married,30,53818,15772.7019529707,7743.3011518290205,2023-02-12
Wales,Unemployed,House,High School,Married,27,36322,6634.49880124632,15696.5135356308,2023-04-07
Scotland,Self-Employed,Flat,High School,Single,33,76121,37097.8682952159,13881.4232818538,2024-01-23
North West,Self-Employed,Flat,Phd,Divorced,48,40650,13264.2276274068,8536.20356433418,2023-02-01
North West,Employed,Flat,Master,Married,29,72949,26943.8366384823,13881.4232818538,2022-09-19
Midlands,Unemployed,Detached,Phd,Married,32,21416,6332.1786936741,2392.62516434103,2021-04-21
South East,Employed,House,Bachelor,Married,55,25328,11699.147990811,8365.2518908509,2021-10-13
Wales,Unemployed,Detached,High School,Divorced,65,64095,41514.5719935094,10052.7185216619,2020-03-18
London,Employed,House,Bachelor,Single,54,80650,18481.7933941746,34080.9290333807,2023-12-14
South East,Employed,Detached,High School,Married,63,69851,32303.5974787196,15416.5391011511,2020-12-22
Wales,Unemployed,Detached,Bachelor,Divorced,58,40983,15498.3105664688,6185.94721258586,2020-03-07
South East,Unemployed,Detached,Bachelor,Divorced,57,53818,15589.7698294585,7356.42993840989,2023-10-04
Wales,Unemployed,Detached,Phd,Single,37,45483,11453.2034772937,13881.4232818538,2022-04-27
North West,Self-Employed,Detached,Phd,Single,51,53818,22759.5398205431,19962.8151637327,2020-11-25
Wales,Employed,Flat,Master,Divorced,60,81273,42424.2721498591,38765.3438570884,2023-11-28
Scotland,Unemployed,Detached,Master,Married,36,30571,22759.5398205431,13881.4232818538,2022-09-10
South East,Employed,Flat,Bachelor,Single,61,56248,36055.1394495983,24608.9291575466,2021-01-13
Midlands,Self-Employed,Detached,Bachelor,Married,23,52510,22759.5398205431,10002.9928550571,2023-01-13
North West,Unemployed,House,High School,Married,54,72870,45624.3517787161,23980.4761433188,2022-11-24
Scotland,Unemployed,House,High School,Married,32,39910,21714.185103061,6005.43328226565,2021-06-12
Midlands,Unemployed,Flat,High School,Married,56,70082,22759.5398205431,21576.5147434013,2020-11-02
South East,Unemployed,Flat,High School,Divorced,27,55498,31357.5998436511,25038.3347770023,2023-06-20
Scotland,Unemployed,Semi-Detached,High School,Married,42,49139,22759.5398205431,23013.4640900104,2023-11-26
Wales,Employed,House,Bachelor,Married,49,53818,22505.1002328118,20538.650711493,2022-02-04
London,Unemployed,House,High School,Married,53,53818,24671.8209402924,32015.2237659423,2022-01-08
Wales,Employed,Detached,Master,Married,53,70028,30109.7673384871,26083.3112452515,2021-12-06
South East,Self-Employed,Flat,Master,Single,45,24507,11899.0801261519,10095.2188487865,2023-10-29
London,Self-Employed,House,Bachelor,Divorced,21,47329,16017.1355197054,18226.217824603,2021-09-10
Wales,Unemployed,Semi-Detached,High School,Single,53,67051,34666.9414091634,13881.4232818538,2021-06-18
Wales,Unemployed,Detached,Bachelor,Single,54,49496,32789.8184883531,13881.4232818538,2022-04-08
North West,Unemployed,Flat,Bachelor,Married,35,88075,44489.5642999648,40744.4287889431,2020-07-18
North West,Employed,Detached,Bachelor,Divorced,42,29704,8395.63640709272,11812.8046964795,2022-08-21
London,Unemployed,Flat,Phd,Single,53,33704,19912.3505135222,10513.4707840198,2022-07-26
South East,Self-Employed,House,High School,Married,42,41176,10760.7982365381,4195.23325385375,2020-06-29
South East,Unemployed,Semi-Detached,Phd,Married,48,80573,53141.9677390772,25260.6862635237,2020-01-09
Wales,Unemployed,House,Bachelor,Divorced,43,58906,22759.5398205431,13881.4232818538,2022-12-09
Midlands,Self-Employed,House,Master,Married,43,42697,14747.2609126991,4596.32749206655,2023-12-27
Wales,Employed,Semi-Detached,Master,Divorced,60,24368,22759.5398205431,8889.15316365513,2022-08-29
Wales,Employed,House,High School,Married,47,31235,14474.1794038389,10904.7354233473,2020-08-05
North West,Employed,House,Master,Divorced,33,64913,64098.0328381148,10655.4325631676,2020-07-01
London,Unemployed,Semi-Detached,Bachelor,Single,53,27836,10667.3908939951,12857.7755727262,2020-03-21
Midlands,Self-Employed,Detached,Phd,Divorced,28,30451,12436.2011225322,3162.9128206468,2020-07-09
Midlands,Self-Employed,House,High School,Married,46,77839,28184.4755828164,29264.4261353237,2020-11-22
London,Self-Employed,Semi-Detached,Phd,Single,60,67774,30897.9783155411,30161.4842170384,2022-06-21
London,Employed,Detached,Master,Single,64,86788,49458.2988410307,33804.7433095344,2022-06-05
Wales,Unemployed,House,Phd,Married,63,68446,22759.5398205431,31267.8270200204,2020-12-04
London,Self-Employed,Detached,Bachelor,Married,38,24599,14533.2341248645,8789.88505093487,2022-07-04
Midlands,Employed,Semi-Detached,High School,Single,46,53818,22911.0415906956,7209.49092854089,2023-10-07
North West,Self-Employed,Detached,High School,Single,50,61512,32266.5995744576,17792.5595965715,2023-07-21
Midlands,Unemployed,Detached,High School,Single,31,82542,26397.0348869836,11785.7266354369,2024-01-07
Midlands,Employed,Semi-Detached,High School,Divorced,64,34150,20147.565187899,9662.9183990845,2022-06-05
Scotland,Self-Employed,House,Bachelor,Divorced,29,31573,17013.2947234569,10812.6256464075,2022-03-25
Midlands,Self-Employed,Semi-Detached,Bachelor,Single,47,85147,34169.7948457173,37829.3661721038,2021-12-08
Wales,Employed,House,Master,Divorced,28,64168,33218.1388129453,21063.4846595332,2020-01-27
Scotland,Employed,Flat,Phd,Single,24,25419,5769.21184055814,13881.4232818538,2022-01-04
North West,Employed,House,Phd,Single,53,55701,46406.5626278562,26212.5521867649,2021-05-29
South East,Unemployed,Semi-Detached,Bachelor,Divorced,62,66200,38000.8455296821,26174.1568605429,2020-12-21
Wales,Unemployed,Flat,Phd,Single,48,54583,22759.5398205431,8971.8917625061,2023-05-07
London,Unemployed,Detached,Phd,Divorced,56,64934,18096.8545507729,20139.8013170332,2021-12-16
South East,Employed,Detached,Master,Married,39,46632,30859.1714401293,13520.6161700574,2023-08-08
Scotland,Unemployed,House,High School,Divorced,41,67987,35648.7743485506,17292.5188712651,2022-07-01
North West,Employed,Detached,Bachelor,Married,53,28793,14495.9020230979,14069.7428687664,2023-11-04
North West,Employed,House,Phd,Divorced,25,53818,10289.1778399,4393.37547207802,2022-04-14
North West,Self-Employed,Semi-Detached,Phd,Married,22,69052,22759.5398205431,7068.13309560872,2022-10-26
London,Self-Employed,Detached,High School,Married,49,67992,21904.5892287181,19690.1480638407,2020-10-22
Midlands,Unemployed,Detached,High School,Divorced,56,36530,5790.12312454425,13881.4232818538,2021-03-09
North West,Unemployed,House,Bachelor,Single,35,51127,22759.5398205431,18834.7350694484,2020-05-29
Midlands,Unemployed,Flat,Master,Single,33,81857,48576.8207397659,12383.8229019619,2023-06-16
Wales,Self-Employed,House,Master,Married,48,40103,9126.57054667546,16613.2309896494,2022-09-09
North West,Self-Employed,Detached,Master,Married,56,32264,14988.8669648932,4284.31969349268,2024-01-29
London,Employed,Flat,Phd,Divorced,34,22804,14007.4923398367,10434.9821005553,2021-08-18
South East,Self-Employed,Flat,Phd,Married,53,19388,7060.80369322596,7811.08452394033,2024-02-08
North West,Self-Employed,Flat,Bachelor,Married,35,26239,15643.026440187,3073.2002716661,2023-08-21
Midlands,Employed,Detached,Master,Divorced,55,40786,16774.3530211999,10038.1977548571,2021-12-23
Midlands,Self-Employed,Semi-Detached,High School,Divorced,29,75658,19562.7918596664,23137.4654573804,2022-04-29
Midlands,Unemployed,Flat,Phd,Divorced,51,80786,23795.1752863837,28994.3937957115,2023-03-18
South East,Employed,House,Master,Single,54,71143,36943.7822854699,25259.2568899801,2022-08-23
North West,Employed,House,Phd,Divorced,30,41839,22954.8445805134,8610.81260257455,2020-08-10
London,Employed,Semi-Detached,Bachelor,Divorced,27,41255,22011.9441365789,4769.68137282635,2020-01-03
Wales,Unemployed,Semi-Detached,Phd,Married,23,87444,37888.3780568281,36361.159435176,2020-10-01
Midlands,Self-Employed,House,High School,Married,59,89267,22759.5398205431,9121.99670537289,2021-10-08
North West,Self-Employed,Flat,Bachelor,Married,62,51244,21280.5719387409,13806.3951746701,2022-09-15
South East,Self-Employed,Semi-Detached,Master,Married,57,63135,34413.3190669826,24894.9495024888,2021-03-15
Scotland,Self-Employed,Detached,High School,Single,45,18693,22759.5398205431,5396.06090521256,2022-03-31
Scotland,Unemployed,Detached,High School,Single,61,82797,31724.199046074,36449.4794336767,2023-06-13
South East,Unemployed,Flat,Master,Single,62,18037,7090.45379037515,8995.53632928453,2020-05-20
London,Unemployed,Detached,Master,Married,38,47661,22759.5398205431,13435.8076446745,2021-11-27
London,Unemployed,Detached,Master,Divorced,49,67424,29130.8779800303,27171.1515083947,2020-05-18
North West,Unemployed,House,Bachelor,Married,47,64281,22849.7426551505,24447.8269445842,2020-12-31
North West,Self-Employed,Detached,Bachelor,Divorced,38,41957,22512.6320756917,12570.3061294556,2023-06-20
Midlands,Employed,Flat,High School,Single,64,82574,42254.652029747,39899.5285809095,2021-07-16
North West,Employed,Detached,Phd,Single,57,34809,11294.945293037,10140.8374187154,2023-12-01
Scotland,Self-Employed,Detached,High School,Single,64,45623,14114.4753326756,10501.2502994966,2022-01-19
South East,Self-Employed,Semi-Detached,Bachelor,Married,65,66799,26798.1455407135,14151.4892400391,2021-04-27
Scotland,Self-Employed,Semi-Detached,Bachelor,Single,30,79995,40449.0542039798,21487.3183669905,2021-05-28
